0.000000	3.792238	-2.221442	6.013679	-4.442883	
0.001000	3.790015	-2.219219	6.013677	-4.442881	
0.002000	3.787790	-2.216994	6.013670	-4.442874	
0.003000	3.785563	-2.214767	6.013659	-4.442863	
0.004000	3.783334	-2.212538	6.013643	-4.442847	
0.005000	3.781103	-2.210307	6.013624	-4.442828	
0.006000	3.778869	-2.208073	6.013599	-4.442803	
0.007000	3.776633	-2.205837	6.013570	-4.442774	
0.008000	3.774395	-2.203599	6.013537	-4.442741	
0.009000	3.772155	-2.201359	6.013499	-4.442703	
0.010000	3.769913	-2.199117	6.013457	-4.442661	
0.011000	3.767668	-2.196872	6.013410	-4.442614	
0.012000	3.765421	-2.194625	6.013359	-4.442563	
0.013000	3.763172	-2.192376	6.013304	-4.442508	
0.014000	3.760921	-2.190125	6.013244	-4.442448	
0.015000	3.758668	-2.187872	6.013180	-4.442384	
0.016000	3.756412	-2.185616	6.013111	-4.442315	
0.017000	3.754154	-2.183358	6.013037	-4.442241	
0.018000	3.751894	-2.181098	6.012959	-4.442163	
0.019000	3.749632	-2.178836	6.012877	-4.442081	
0.020000	3.747368	-2.176572	6.012791	-4.441995	
0.021000	3.745101	-2.174305	6.012700	-4.441904	
0.022000	3.742832	-2.172036	6.012604	-4.441808	
0.023000	3.740562	-2.169766	6.012505	-4.441709	
0.024000	3.738289	-2.167493	6.012400	-4.441604	
0.025000	3.736013	-2.165217	6.012291	-4.441495	
0.026000	3.733736	-2.162940	6.012178	-4.441382	
0.027000	3.731456	-2.160660	6.012059	-4.441263	
0.028000	3.729175	-2.158379	6.011938	-4.441142	
0.029000	3.726891	-2.156095	6.011811	-4.441015	
0.030000	3.724605	-2.153809	6.011680	-4.440884	
0.031000	3.722317	-2.151521	6.011545	-4.440749	
0.032000	3.720027	-2.149231	6.011405	-4.440609	
0.033000	3.717734	-2.146938	6.011260	-4.440464	
0.034000	3.715439	-2.144643	6.011111	-4.440315	
0.035000	3.713143	-2.142347	6.010959	-4.440163	
