0.000000	3.792238	2.221441	
0.001000	3.790015	2.223662	
0.002000	3.787790	2.225880	
0.003000	3.785563	2.228096	
0.004000	3.783334	2.230309	
0.005000	3.781103	2.232521	
0.006000	3.778869	2.234730	
0.007000	3.776633	2.236937	
0.008000	3.774395	2.239142	
0.009000	3.772155	2.241344	
0.010000	3.769913	2.243544	
0.011000	3.767668	2.245742	
0.012000	3.765421	2.247938	
0.013000	3.763172	2.250132	
0.014000	3.760921	2.252323	
0.015000	3.758668	2.254512	
0.016000	3.756412	2.256699	
0.017000	3.754154	2.258883	
0.018000	3.751894	2.261065	
0.019000	3.749632	2.263245	
0.020000	3.747368	2.265423	
0.021000	3.745101	2.267599	
0.022000	3.742832	2.269772	
0.023000	3.740562	2.271943	
0.024000	3.738289	2.274111	
0.025000	3.736013	2.276278	
0.026000	3.733736	2.278442	
0.027000	3.731456	2.280603	
0.028000	3.729175	2.282763	
0.029000	3.726891	2.284920	
0.030000	3.724605	2.287075	
0.031000	3.722317	2.289228	
0.032000	3.720027	2.291378	
0.033000	3.717734	2.293526	
0.034000	3.715439	2.295672	
0.035000	3.713143	2.297816	
0.036000	3.710844	2.299957	
0.037000	3.708543	2.302096	
0.038000	3.706240	2.304232	
0.039000	3.703934	2.306367	
0.040000	3.701627	2.308499	
0.041000	3.699317	2.310628	
0.042000	3.697006	2.312756	
0.043000	3.694692	2.314881	
0.044000	3.692376	2.317003	
0.045000	3.690058	2.319124	
0.046000	3.687738	2.321242	
0.047000	3.685415	2.323358	
0.048000	3.683091	2.325471	
0.049000	3.680764	2.327582	
0.050000	3.678436	2.329691	
0.051000	3.676105	2.331798	
0.052000	3.673772	2.333902	
0.053000	3.671437	2.336003	
0.054000	3.669100	2.338103	
0.055000	3.666761	2.340200	
0.056000	3.664420	2.342295	
0.057000	3.662076	2.344387	
0.058000	3.659731	2.346477	
0.059000	3.657383	2.348565	
0.060000	3.655034	2.350651	
0.061000	3.652682	2.352734	
0.062000	3.650328	2.354814	
0.063000	3.647973	2.356893	
0.064000	3.645615	2.358969	
0.065000	3.643255	2.361042	
0.066000	3.640893	2.363114	
0.067000	3.638528	2.365183	
0.068000	3.636162	2.367249	
0.069000	3.633794	2.369313	
0.070000	3.631424	2.371375	
0.071000	3.629051	2.373435	
0.072000	3.626677	2.375492	
0.073000	3.624300	2.377546	
0.074000	3.621922	2.379599	
0.075000	3.619541	2.381649	
0.076000	3.617158	2.383696	
0.077000	3.614774	2.385741	
0.078000	3.612387	2.387784	
